R-PEAK INDEX, TIME, AMPLITUDE
149084,1490.84,119
149164,1491.64,131
149194,1491.94,57
149244,1492.44,137
149326,1493.26,88
149409,1494.09,147
149439,1494.39,51
149490,1494.9,116
149571,1495.71,138
149654,1496.54,90
149683,1496.83,51
149734,1497.34,75
149764,1497.64,54
149814,1498.14,122
149843,1498.43,65
149894,1498.94,141
149923,1499.23,55
149976,1499.76,72
150005,1500.05,54
150059,1500.59,133
150145,1501.45,130
150230,1502.3,83
150260,1502.6,52
150318,1503.18,131
150346,1503.46,52
150405,1504.05,134
150494,1504.94,137
150523,1505.23,50
150580,1505.8,78
150611,1506.11,58
150666,1506.66,146
150749,1507.49,153
150834,1508.34,141
150864,1508.64,51
150918,1509.18,120
150947,1509.47,61
151001,1510.01,117
151085,1510.85,84
151168,1511.68,132
151198,1511.98,57
151250,1512.5,139
151331,1513.31,87
151414,1514.14,137
151444,1514.44,50
151492,1514.92,60
151521,1515.21,64
151570,1515.7,168
151647,1516.47,113
151725,1517.25,187
151801,1518.01,136
151875,1518.75,139
151949,1519.49,94
152026,1520.26,134
152055,1520.55,52
152103,1521.03,139
152179,1521.79,118
152255,1522.55,92
152333,1523.33,122
152410,1524.1,103
152488,1524.88,95
152567,1525.67,85
152645,1526.45,91
152722,1527.22,120
152801,1528.01,152
152879,1528.79,121
152957,1529.57,81
153034,1530.34,101
153111,1531.11,105
153188,1531.88,80
153266,1532.66,135
153342,1533.42,100
153420,1534.2,126
153498,1534.98,131
153575,1535.75,135
153653,1536.53,125
153731,1537.31,108
153809,1538.09,130
153890,1538.9,138
153971,1539.71,118
154052,1540.52,93
154132,1541.32,81
154214,1542.14,122
154294,1542.94,81
154374,1543.74,108
154455,1544.55,124
154535,1545.35,81
154564,1545.64,52
154615,1546.15,131
154644,1546.44,50
154698,1546.98,141
154783,1547.83,99
154869,1548.69,135
154959,1549.59,124
154988,1549.88,54
155047,1550.47,138
155076,1550.76,55
155138,1551.38,122
155227,1552.27,127
155317,1553.17,91
155346,1553.46,56
155406,1554.06,79
155496,1554.96,119
155525,1555.25,58
155587,1555.87,144
155616,1556.16,56
155676,1556.76,132
155768,1557.68,140
155799,1557.99,53
155857,1558.57,138
155946,1559.46,81
155975,1559.75,60
156034,1560.34,124
156065,1560.65,57
156118,1561.18,72
156203,1562.03,178
156285,1562.85,124
156315,1563.15,62
156365,1563.65,118
156394,1563.94,66
156444,1564.44,70
156524,1565.24,105
156554,1565.54,56
156602,1566.02,91
156633,1566.33,60
156680,1566.8,119
156759,1567.59,108
156837,1568.37,93
156868,1568.68,58
156915,1569.15,136
156994,1569.94,151
157074,1570.74,119
157104,1571.04,50
157154,1571.54,85
157233,1572.33,119
157312,1573.12,161
157393,1573.93,124
157423,1574.23,52
157473,1574.73,89
157553,1575.53,122
157634,1576.34,135
157716,1577.16,137
157799,1577.99,117
157882,1578.82,126
157967,1579.67,138
158051,1580.51,127
158135,1581.35,85
158220,1582.2,137
158302,1583.02,143
158382,1583.82,150
158462,1584.62,143
158542,1585.42,119
158620,1586.2,95
158701,1587.01,106
